name,description,stars,forks,language,url,readme_snippet,account
simplewcs2,QGIS Plugin for OGC Web Coverage Service 2.X,2,1,Python,https://github.com/nlsfi/simplewcs2,"# QGIS Plugin for OGC Web Coverage Service 2.X

Receive tiff files from OGC Web Coverage Services (v2.X) based on map view in QGIS. Created to access ",nlsfi
sopimus-paikkatieto.maanmittauslaitos.fi,No description,0,0,JavaScript,https://github.com/nlsfi/sopimus-paikkatieto.maanmittauslaitos.fi,"This repository contains demo applications and resources for sopimus-paikkatieto.maanmittauslaitos.fi APIs

Related

- <https://github.com/nlsfi/avoin",nlsfi
taustakartta_KaPA,No description,0,0,Scheme,https://github.com/nlsfi/taustakartta_KaPA,"# taustakartta_KaPA
",nlsfi
tjs2,Pilot implementation for Table Joining Service v2,0,0,None specified,https://github.com/nlsfi/tjs2,"# tjs2
Pilot implementation for Table Joining Service v2
",nlsfi
foreign_workers,Jumlah Pekerja  Asing Mengikut Sektor,0,0,None specified,https://github.com/PMO2/foreign_workers,README not available,pmo2
boulder_equity_map,No description,0,0,R,https://github.com/cityofboulder/boulder_equity_map,"<div id=""top""></div>
<!--
*** From https://github.com/othneildrew/Best-README-Template
*** Thanks for checking out the Best-README-Template. If you ha",cityofboulder
IT_ETL_Parking_Analysis,No description,0,0,None specified,https://github.com/cityofboulder/IT_ETL_Parking_Analysis,"<div id=""top""></div>

<!-- PROJECT SHIELDS -->
<!--
*** Using markdown ""reference style"" links for readability.
*** Reference links are enclosed in br",cityofboulder
IT_GIS_FacilityID,A script that edits and generates unique IDs inside the City of Boulder's enterprise geodatabase,2,0,Python,https://github.com/cityofboulder/IT_GIS_FacilityID,"# Versioned Edits to Unique IDs

This package QCs unique, human-readable IDs in an enterprise geodatabase. It specifically looks for duplicated and nu",cityofboulder
IT_GIS_PW_Floodplains,A pythonic ETL package that checks for floodplain updates within the City of Boulder,0,0,Python,https://github.com/cityofboulder/IT_GIS_PW_Floodplains,"## NFHL Floodplain Updates

This is a pythonic ETL package that checks for new Letters of Map Revision (LOMR) and Letters of Map Ammendment (LOMA) wit",cityofboulder
IT_GIS_PW_ImperviousSurfaces,Creates an ImperviousSurfaces layer inside the City of Boulder's enterprise geodatabase that is derived from planimetric data.,0,0,Python,https://github.com/cityofboulder/IT_GIS_PW_ImperviousSurfaces,"<div id=""top""></div>

<!-- PROJECT SHIELDS -->
<!--
*** Using markdown ""reference style"" links for readability.
*** Reference links are enclosed in br",cityofboulder
KohAnalytics,A module to make integration between your KohanaPHP (v3.x) applications and Google's Analytics API a breeze.,0,0,PHP,https://github.com/cityofboulder/KohAnalytics,,cityofboulder
library-district-tax,Analysis of current and proposed taxes for parcels within Boulder's proposed library district.,0,0,Shell,https://github.com/cityofboulder/library-district-tax,"# library-district-tax
Analysis of current and proposed taxes for parcels within Boulder's proposed library district.
",cityofboulder
lidar,A set of tools for processing classified LiDAR point clouds.,0,0,Python,https://github.com/cityofboulder/lidar,"# LiDAR Processing
This repo contains a set of tools that can be used for processing classified LiDAR point clouds. It primarily makes use of the Poin",cityofboulder
services-eligibility-calculator,No description,1,0,None specified,https://github.com/cityofboulder/services-eligibility-calculator,"# Google.org: Service Management & Calculator Portals

_This is not an officially supported Google product._

## Overview

### About the Service Eligi",cityofboulder
ae2,"Eigenschaften von Flora, Fauna, Moosen und Lebensräumen: Sichten, exportieren, importieren",3,2,JavaScript,https://github.com/FNSKtZH/ae2,Informationen über das Projekt finden Sie [hier](https://artdaten.ch/Dokumentation/Projektbeschreibung/),FNSKtZH
apflora,Aktionsplan Flora der Fachstelle Naturschutz des Kantons Zürich,0,1,JavaScript,https://github.com/FNSKtZH/apflora,"This application was used from 2012 to August 2017.

It has now been replaced by [it's successor](https://github.com/barbalex/apf2).
",FNSKtZH
apflora_api,Das Backend zu apflora,0,0,JavaScript,https://github.com/FNSKtZH/apflora_api,"# apflora.ch backend

Das Backend (Datenbank und API-Server) der [Web-Applikation zur Verwaltung des Aktionsplans Flora der Fachstelle Naturschutz des",FNSKtZH
artendb_import,Daten in die ArtenDb importieren,0,0,JavaScript,https://github.com/FNSKtZH/artendb_import,Die Fachstelle Naturschutz des Kantons Zürich hat die [Artendatenbank](http://www.aln.zh.ch/internet/baudirektion/aln/de/naturschutz/naturschutzdaten/,FNSKtZH
artendb_v1,Informationen über Arten und Lebensräume,2,0,JavaScript,https://github.com/FNSKtZH/artendb_v1,"# arteigenschaften.ch

[![js-standard-style](https://img.shields.io/badge/license-ISC-brightgreen.svg)](https://github.com/FNSKtZH/artendb/blob/master",FNSKtZH
ccsa-covid-v3,No description,2,2,Jupyter Notebook,https://github.com/UNStats/ccsa-covid-v3,"
## Overview

This repository is a companion to the publication
[How COVID-19 is changing the world: a statistical perspective - Volume III][pub-v3]
p",UNStats
components,UNStats React components.,1,0,JavaScript,https://github.com/UNStats/components,"# @unstats/components

This library contains [React](https://facebook.github.io/react/) components that can be reused across web applications. None of",UNStats
contributing,Contribution guidelines @UNDataForum repositories,0,0,JavaScript,https://github.com/UNStats/contributing,"# Contribution Guidelines for [@UNDataForum](https://github.com/UNDataForum)

In order to author content run

    yarn start

and start editing.

In o",UNStats
CountryProfiles,No description,5,1,JavaScript,https://github.com/UNStats/CountryProfiles,"# CountryProfiles
  This reposirtory is for the Country Profiles application based on the Global SDGs Database.
",UNStats
country_profiles_2,Redesign of country_profiles tabulatoins,1,0,Python,https://github.com/UNStats/country_profiles_2,README not available,UNStats
covid-19-response,COVID-19 response website for the global statistical community.,1,1,JavaScript,https://github.com/UNStats/covid-19-response,"# covid-19-response

This repository contains the source code for
https://covid-19-response.unstatshub.org.
",UNStats
design-system,Design system for @undataforum websites.,14,3,JavaScript,https://github.com/UNStats/design-system,"# @undataforum/design-system

This monorepo contains the design system for United Nations World Data Forum
websites:

- [@undataforum/assets](https://",UNStats
DevInfoToDSD,No description,4,3,Jupyter Notebook,https://github.com/UNStats/DevInfoToDSD,"# DevInfo to DSD
This repo will walk you through the process of converting a DevInfo Access Database to files that can be published to your ArcGIS Hub",UNStats
explore_dc_sdg,Explore Data Commons for SDGs,0,0,Jupyter Notebook,https://github.com/UNStats/explore_dc_sdg,"# About this repo

This repo includes code for an initial exploration of Google Data Commons using the python API. 

# Getting started

The following ",UNStats
fis4sdg_2020,Federated Information System for the SDGs Project,1,0,None specified,https://github.com/UNStats/fis4sdg_2020,"FIS4SDG_python
==============================

Automation of FIS4SDG workflows

# This is a title

- [1.1] This is a paragraph.   Lorem [ipsum](http:/",UNStats
gatsby-starter-default,No description,0,0,CSS,https://github.com/UNStats/gatsby-starter-default,"<!-- AUTO-GENERATED-CONTENT:START (STARTER) -->
<p align=""center"">
  <a href=""https://www.gatsbyjs.org"">
    <img alt=""Gatsby"" src=""https://www.gatsby",UNStats
gatsby-themes,Gatsby themes for @UNDataForum websites.,5,2,JavaScript,https://github.com/UNStats/gatsby-themes,"# @undataforum/gatsby-themes

This monorepo contains [Gatsby](https://www.gatsbyjs.org/) themes for United
Nations World Data Forum websites.
",UNStats
gender_data_portal,No description,1,0,Python,https://github.com/UNStats/gender_data_portal,README not available,UNStats
LOD4Stats,No description,17,6,Python,https://github.com/UNStats/LOD4Stats,"Linked Open Data for SDG statistics
======

This repository contains resources related to a pilot LOD infrastructure for Sustainable Development Goals",UNStats
SDG,Repository Hosting our work and data on sdgs,2,3,Python,https://github.com/UNStats/SDG,"## SDG Repositiry

[![goodtables.io](https://goodtables.io/badge/github/roll/SDG.svg)](https://goodtables.io/github/roll/SDG)

This is the collaborati",UNStats
website-statsday,Website for World Statistics Day 2015,0,2,HTML,https://github.com/UNStats/website-statsday,README not available,UNStats
worlds-women-2020,World's Women 2020 - Content,0,0,HTML,https://github.com/UNStats/worlds-women-2020,README not available,UNStats
WorldsWomen,Worlds' Women Report 2020,0,0,Jupyter Notebook,https://github.com/UNStats/WorldsWomen,"# WorldsWomen
Worlds' Women Report 2020
",UNStats
data-classification,No description,0,0,TypeScript,https://github.com/DGA-Thailand/data-classification,"This source code implements a data classification assessment tool for government agencies, based on DGA Community Standard on ""Government Data Classif",DGA-Thailand
DemoGDX,No description,1,0,None specified,https://github.com/DGA-Thailand/DemoGDX,README not available,DGA-Thailand
digitalId-relying-party-js,No description,1,0,None specified,https://github.com/DGA-Thailand/digitalId-relying-party-js,"ตัวอย่าง source code สำหรับเชื่อมต่อกับระบบ Digital ID ของ DGA ในภาษา Javascript
",DGA-Thailand
digitalId-relying-party-net,No description,1,1,JavaScript,https://github.com/DGA-Thailand/digitalId-relying-party-net,README not available,DGA-Thailand
digitalId-relying-party-php,No description,1,0,None specified,https://github.com/DGA-Thailand/digitalId-relying-party-php,PHP Client for OpenIdConnect,DGA-Thailand
kb,No description,1,1,MDX,https://github.com/DGA-Thailand/kb,"# DGA Resource Center

This repository contains the documentation website code and Markdown source files for kb.dga.or.th.

We build this website usin",DGA-Thailand
kb-old,DGA Products FAQs and Technical Documents,1,0,SCSS,https://github.com/DGA-Thailand/kb-old,"### Welcome to kb.dga.or.th

This is the repo for the kb.dga.or.th website, a resource for DGA products and services' technical documentation, as well",DGA-Thailand
ofos-public-content,OFOS public content website for hosting web only,0,0,HTML,https://github.com/DGA-Thailand/ofos-public-content,"# ofos-public-content
OFOS public content website for hosting web only
",DGA-Thailand
thacca,No description,2,0,HTML,https://github.com/DGA-Thailand/thacca,"# Welcome to thacca.go.th

This is the repo for the thacca.go.th website.

# How to contribute

Please contact the repo's admin to grant you the neces",DGA-Thailand
thacca2.0,No description,0,0,TypeScript,https://github.com/DGA-Thailand/thacca2.0,"# Welcome to thacca.go.th

This is the repo for the thacca.go.th website.

# How to contribute

Please contact the repo's admin to grant you the neces",DGA-Thailand
bustracker,No description,2,1,C#,https://github.com/StatesOfJersey/bustracker,README not available,statesofjersey
e-petitions,This is the code base for the States of Jersey Government's e-petitions service,2,0,Ruby,https://github.com/StatesOfJersey/e-petitions,"# Petitions

This is the code base for the [Jersey States Assembly petitions service][1].

## Setup

We recommend using [Docker Desktop][2] to get set",statesofjersey
eGov,No description,0,0,None specified,https://github.com/StatesOfJersey/eGov,README not available,statesofjersey
Jersey-COVID-Alert,Jersey COVID Alert,2,1,TypeScript,https://github.com/StatesOfJersey/Jersey-COVID-Alert,"# Jersey COVID Alert

## Open Access
This is a transparent project, the source code for the Jersey COVID Alert app is available for you to inspect on ",statesofjersey
Jersey-COVID-Alert-Documentation,Jersey COVID Alert Documentation,0,0,None specified,https://github.com/StatesOfJersey/Jersey-COVID-Alert-Documentation,README not available,statesofjersey
smart-answers,Smart Answers - a test implementation of the GDS Smart Answers platform for use on gov.je,0,0,Ruby,https://github.com/StatesOfJersey/smart-answers,"# Smart Answers

> Smart answers are a great tool for content designers to present complex information in a quick and simple way. Defining what they a",statesofjersey
SoJ-CSS,States of Jersey css framework for web projects (based on the parent CSS from gov.je),5,5,SCSS,https://github.com/StatesOfJersey/SoJ-CSS,"#SoJ-CSS

CSS supporting SoJ branding guidelines

## Prerequisites

Requires Node.js to be installed

## Installing

Download the project
inside the f",statesofjersey
SoJ-UI-Toolkit,The UI toolkit for States of Jersey web projects,0,0,CSS,https://github.com/StatesOfJersey/SoJ-UI-Toolkit,"Style-Guide-Boilerplate v3.3.0
==============================

A starting point for crafting living style guides.

[View Demo](http://brettjankord.com",statesofjersey
webanalytics.gov.je,A project to publish website analytics for the States of Jersey government. Based on a project by 18F for the Government of the United States of America (original project here - https://github.com/18F/analytics.usa.gov).,1,1,HTML,https://github.com/StatesOfJersey/webanalytics.gov.je,"## webanalytics.gov.je

A project to publish website analytics for the States of Jersey government and is a fork of [analytics.usa.gov](https://github",statesofjersey
AG-AWS-Workshop-July-2023,No description,0,2,Jupyter Notebook,https://github.com/dsaidgovsg/AG-AWS-Workshop-July-2023,README not available,dsaidgovsg
aiguardian-test-action,sample gha for litmus,0,0,None specified,https://github.com/dsaidgovsg/aiguardian-test-action,README not available,dsaidgovsg
airflow-maintenance-dags,A series of DAGs/Workflows to help maintain the operation of Airflow,0,0,Python,https://github.com/dsaidgovsg/airflow-maintenance-dags,"# airflow-maintenance-dags
A series of DAGs/Workflows to help maintain the operation of Airflow

## DAGs/Workflows

* db-cleanup
    * A maintenance w",dsaidgovsg
airflow-pipeline,An Airflow docker image preconfigured to work well with Spark and Hadoop/EMR,174,59,Python,https://github.com/dsaidgovsg/airflow-pipeline,"# Airflow Pipeline Docker Image Set-up

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/airflow-pipeline/CI/master?label=CI&logo",dsaidgovsg
alpa,Training and serving large-scale neural networks,0,0,Python,https://github.com/dsaidgovsg/alpa,"<div align=""center"">
<img src=""https://github.com/alpa-projects/alpa/blob/main/docs/logo/alpa-logo-cropped.png"" alt=""logo"" width=""250""></img>
<br></br",dsaidgovsg
alpaca-lora,Instruct-tune LLaMA on consumer hardware,0,0,Jupyter Notebook,https://github.com/dsaidgovsg/alpaca-lora,"# 🦙🌲🤏 Alpaca-LoRA

- 🤗 **Try the pretrained model out [here](https://huggingface.co/spaces/tloen/alpaca-lora), courtesy of a GPU grant from Huggingfac",dsaidgovsg
amazon-kinesis-video-streams-producer-sdk-cpp,"Amazon Kinesis Video Streams Producer SDK for C++ is for developers to install and customize for their connected camera and other devices to securely stream video, audio, and time-encoded data to Kinesis Video Streams.",0,0,None specified,https://github.com/dsaidgovsg/amazon-kinesis-video-streams-producer-sdk-cpp,"### Amazon Kinesis Video Streams Producer SDK C/C++
----
### Attention
----
If you are updating from any release before 1.7.0, you need to specify a t",dsaidgovsg
ann4s,Building Annoy Index on Apache Spark,0,1,Scala,https://github.com/dsaidgovsg/ann4s,"[![Build Status](https://travis-ci.org/mskimm/ann4s.svg?branch=master)](https://travis-ci.org/mskimm/ann4s)
[![Maven metadata URI](https://img.shields",dsaidgovsg
ansible-prometheus,Deploy Prometheus monitoring system,0,0,Python,https://github.com/dsaidgovsg/ansible-prometheus,"<p><img src=""https://cdn.worldvectorlogo.com/logos/prometheus.svg"" alt=""prometheus logo"" title=""prometheus"" align=""right"" height=""60"" /></p>

# Ansibl",dsaidgovsg
argo-cd,Declarative Continuous Deployment for Kubernetes,0,0,None specified,https://github.com/dsaidgovsg/argo-cd,"**Releases:**
[![Release Version](https://img.shields.io/github/v/release/argoproj/argo-cd?label=argo-cd)](https://github.com/argoproj/argo-cd/release",dsaidgovsg
benchmarking-differential-privacy-tools,No description,1,1,Jupyter Notebook,https://github.com/dsaidgovsg/benchmarking-differential-privacy-tools,"# Benchmarking Differential Privacy Python Tools 
------------------------

This repository contains the implementation of benchmarked differential pr",dsaidgovsg
benchmarking-synthetic-data-generators,No description,0,1,Jupyter Notebook,https://github.com/dsaidgovsg/benchmarking-synthetic-data-generators,"# Benchmarking Synthetic Data Generation Models 

| Argument | Type | Default Value | Description | Possible Values |
|----------|------|-------------",dsaidgovsg
cc-changelog-gen,Changelog generator. Currently only supports Conventional Commit + GitLab.,0,0,Python,https://github.com/dsaidgovsg/cc-changelog-gen,"# `cc-changelog-gen`

[Conventional Commit](https://www.conventionalcommits.org/en/v1.0.0/) Changelog Generator for git
repositories.

## Developer Se",dsaidgovsg
circe-examples,Experimental Scala set-up to try auto-decoding for Circe,0,0,Scala,https://github.com/dsaidgovsg/circe-examples,"# Circe Examples

Experimental Scala set-up to try auto-decoding for `circe`.

This also uses `enumeratum` with `circe`-integration.

## How to build ",dsaidgovsg
cloud-backup,Dockerfile S3 backup set-ups for Consul and Nomad for cloud usage,0,0,Dockerfile,https://github.com/dsaidgovsg/cloud-backup,"# cloud-backup

Dockerfile S3 backup set-ups for Consul and Nomad for cloud usage.

## Consul Backup

This module can only be applied by users with th",dsaidgovsg
consul-alerts,A simple daemon to send notifications based on Consul health checks,0,0,Go,https://github.com/dsaidgovsg/consul-alerts,"consul-alerts
=============

[![Join the chat at https://gitter.im/AcalephStorage/consul-alerts](https://badges.gitter.im/Join%20Chat.svg)](https://gi",dsaidgovsg
csp-html-webpack-plugin,"A plugin which, when combined with HTMLWebpackPlugin, adds CSP tags to the HTML output.",0,0,None specified,https://github.com/dsaidgovsg/csp-html-webpack-plugin,"# CSP HTML Webpack Plugin

[![License](https://img.shields.io/badge/license-MIT-blue.svg)](https://github.com/slackhq/csp-html-webpack-plugin/blob/mas",dsaidgovsg
daip-oss,No description,0,0,None specified,https://github.com/dsaidgovsg/daip-oss,# daip-oss,dsaidgovsg
data-privacy-workshop,No description,1,1,Jupyter Notebook,https://github.com/dsaidgovsg/data-privacy-workshop,"# Data Privacy Workshop

## Background
This workshop is designed to provide participants a basic overview and understanding of data privacy concepts a",dsaidgovsg
dataScienceConnects-networkAnalyticsIntro,Reference for short video for Data Science Connects on 2 Jul 2021.,0,1,Jupyter Notebook,https://github.com/dsaidgovsg/dataScienceConnects-networkAnalyticsIntro,"# Objective

Case-study to show how network (or graph) analysis could help organisation of events.

# Case-study

## Datasets

### Participant Table

",dsaidgovsg
datavis-examples,Repo with sample dataset and codes to show some simple visualization.,1,1,Jupyter Notebook,https://github.com/dsaidgovsg/datavis-examples,"After the World War II, antibiotics were considered as ""wonder drugs"", 
since they were easy remedy for what had been intractable ailments. 
To learn ",dsaidgovsg
detectron2,Detectron2 is FAIR's next-generation platform for object detection and segmentation.,0,0,Python,https://github.com/dsaidgovsg/detectron2,"<img src="".github/Detectron2-Logo-Horz.svg"" width=""300"" >

Detectron2 is Facebook AI Research's next generation software system
that implements state-",dsaidgovsg
de_sysengr_tech_test,Technical Assessment for DE Sys Engr,0,0,None specified,https://github.com/dsaidgovsg/de_sysengr_tech_test,"# Technical Assessment for DE Sys Engr

### Base OS
1. Update and upgrade the OS packages

2. Add admin group - ag_adm, gid=1001; ad_usr, gid=1002

3.",dsaidgovsg
doccano,Open source text annotation tool for machine learning practitioner.,0,0,Python,https://github.com/dsaidgovsg/doccano,"<div align=""center"">
  <img src=""./docs/doccano.png"">
</div>

# doccano

[![Codacy Badge](https://api.codacy.com/project/badge/Grade/98a0992c0a254d0ba",dsaidgovsg
docker-openldap,OpenLDAP as a Docker image,0,0,Shell,https://github.com/dsaidgovsg/docker-openldap,"docker-openldap
===============

The image is based on Debian stable (""stretch"" at the moment). The Dockerfile is
inspired by [cnry/openldap](https://",dsaidgovsg
extract-email-from-http-header,No description,0,0,Python,https://github.com/dsaidgovsg/extract-email-from-http-header,"# extract-email-from-header
Utility package to help extract email from HTTP Request headers. 
",dsaidgovsg
fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",0,0,None specified,https://github.com/dsaidgovsg/fastapi,"<p align=""center"">
  <a href=""https://fastapi.tiangolo.com""><img src=""https://fastapi.tiangolo.com/img/logo-margin/logo-teal.png"" alt=""FastAPI""></a>
<",dsaidgovsg
fetch-docker,A simple Docker set-up to wrap Gruntwork's fetch CLI,0,0,None specified,https://github.com/dsaidgovsg/fetch-docker,"# fetch-docker
A simple Docker set-up to wrap Gruntwork's fetch CLI
",dsaidgovsg
flask-swagger-ui,Swagger UI blueprint for flask,0,0,Python,https://github.com/dsaidgovsg/flask-swagger-ui,"# flask-swagger-ui

Simple Flask blueprint for adding [Swagger UI](https://github.com/swagger-api/swagger-ui) to your flask application.

Included Swa",dsaidgovsg
folium-override-server,Webserver to re-generate uploaded folium map to use custom URLs,1,0,Python,https://github.com/dsaidgovsg/folium-override-server,"# Folium Override Server

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/folium-override-server/CI/master?label=CI&logo=github&",dsaidgovsg
folium-resource-server,Simple server to just host folium JS and CSS resources,6,0,JavaScript,https://github.com/dsaidgovsg/folium-resource-server,"# Folium Resource Server

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/folium-resource-server/CI/v0.10.1-release?label=CI&log",dsaidgovsg
fonts,Font glyphs for GL Styles with open fonts ,0,0,JavaScript,https://github.com/dsaidgovsg/fonts,"# Open Font Glyphs for GL Styles

This project packages the most common free fonts with
[fontnik](https://github.com/mapbox/fontnik) so you don't have",dsaidgovsg
gitops-engine,Democratizing GitOps,0,0,None specified,https://github.com/dsaidgovsg/gitops-engine,"# GitOps Engine

Various GitOps operators address different use-cases and provide different user experiences but all have similar set of core features",dsaidgovsg
govtext-client,No description,0,0,Makefile,https://github.com/dsaidgovsg/govtext-client,"<h2 align=""center"">GovText Client</h2>

<p align=""center"">
<img alt=""Python: v3.7"" src=""https://img.shields.io/badge/python-v3.7-blue"">
<a href=""https",dsaidgovsg
govtext-nginx-oauth2-proxy-test,Test set-up to showcase NGINX endpoint secured by OAuth2 Proxy ,0,0,None specified,https://github.com/dsaidgovsg/govtext-nginx-oauth2-proxy-test,"# NGINX + OAuth Proxy 2 Demostration

## Initial values to set up

Unfortunately because the set-up needs to deal with secret values and also OAuth2 s",dsaidgovsg
grafana-init,Dockerfiles to help initialize `session` table in database backends.,0,0,Shell,https://github.com/dsaidgovsg/grafana-init,"# Grafana Session Table Initializer

Dockerfiles to help initialize `session` table in database backends.

Currently only works for provider `mysql`.
",dsaidgovsg
hackathon2020,Webdev Demo Project for Hackathon 2020,0,0,JavaScript,https://github.com/dsaidgovsg/hackathon2020,"# Hackathon 2020
Webdev Demo Project for Hackathon 2020

![](doc/screenshot.png)

To install

`npm intall`

To run

`npm start`",dsaidgovsg
hextile,Generate tile representations of polygon objects on map,0,0,JavaScript,https://github.com/dsaidgovsg/hextile,"# hextile
Generate tile representations of polygon objects on map

![sample](static/sample.png)

### Usage
```javascript
import hextile from 'hextile'",dsaidgovsg
ifm-pytorch,A PyTorch package to build recommendation algorithms for implicit feedback,0,0,Python,https://github.com/dsaidgovsg/ifm-pytorch,"[![Build Status](https://travis-ci.com/datagovsg/ifm-pytorch.svg?token=QdYT7V5eiyXqAzGySBss&branch=dev)](https://travis-ci.com/datagovsg/ifm-pytorch)
",dsaidgovsg
ilytics,"gunicorn, flask, and darknet model",1,2,C,https://github.com/dsaidgovsg/ilytics,"<img src=""logo.png"" width=""200"">

## Backend

This repo contains the backend(gunicorn, flask, and darknet model) for ilytics.sg 

## Deploying new wei",dsaidgovsg
ilytics-frontend,https://www.ilytics.sg,0,0,Vue,https://github.com/dsaidgovsg/ilytics-frontend,"<img src=""logo.png"" width=""200"">

## Frontend

This repo contains the frontend(vue.js) for ilytics.sg 

## Run Instruction

- `npm install`
 
- `npm r",dsaidgovsg
ilytics-henry,"gunicorn, flask, and darknet model",0,0,None specified,https://github.com/dsaidgovsg/ilytics-henry,"<img src=""logo.png"" width=""200"">

## Backend

This repo contains the backend(gunicorn, flask, and darknet model) for ilytics.sg 

## Deploying new wei",dsaidgovsg
iOneMySgMap,A tile server to serve map tiles for Singapore based off the Singapore Metro Extract,0,0,Shell,https://github.com/dsaidgovsg/iOneMySgMap,"# iOneMySgMap

A tile server to serve map tiles for Singapore based off the
[Singapore Metro Extract](https://mapzen.com/data/metro-extracts/metro/sin",dsaidgovsg
jars,To hold Java JAR file artifacts,0,0,None specified,https://github.com/dsaidgovsg/jars,"# jars
To hold Java JAR file artifacts
",dsaidgovsg
job-descriptions,Data science job descriptions.,0,1,None specified,https://github.com/dsaidgovsg/job-descriptions,"# Job descriptions for Data Science teams

This is a repository for some common job descriptions in GovTech. These would be refined over time to adapt",dsaidgovsg
jupyter-pyspark-toree-addon,Python dependencies to install over jupyter-pyspark-toree-docker,0,1,Dockerfile,https://github.com/dsaidgovsg/jupyter-pyspark-toree-addon,"
# Jupyter Pyspark Toree Add-On Docker Builder

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/jupyter-pyspark-toree-addon/CI/m",dsaidgovsg
jupyter-pyspark-toree-docker,Dockerfile setup to install Jupyter with PySpark and Toree Kernel for Spark development,0,0,Dockerfile,https://github.com/dsaidgovsg/jupyter-pyspark-toree-docker,"# Jupyter Spark Toree Notebook Docker Builder

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/jupyter-pyspark-toree-docker/CI/m",dsaidgovsg
k-shortest-path,Implements K shortest path algorithms for networkx,19,4,Python,https://github.com/dsaidgovsg/k-shortest-path,"# k-shortest-path
[![Build Status](https://travis-ci.com/datagovsg/k-shortest-path.svg?token=QdYT7V5eiyXqAzGySBss&branch=dev)](https://travis-ci.com/d",dsaidgovsg
k6-releases,Repository to auto-build and release customized k6 with extensions,0,0,None specified,https://github.com/dsaidgovsg/k6-releases,"# k6-releases
Repository to auto-build and release customized k6 with extensions
",dsaidgovsg
k8s-charter,Plots CPU and memory usage metrics charts based on your running pods,0,0,Go,https://github.com/dsaidgovsg/k8s-charter,"# `k8s-charter`

[![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/k8s-charter/ci/master?label=ci&logo=github&style=for-the-badge",dsaidgovsg
kms-reencrypt,Python boto3 script to recursively KMS re-encrypt objects,1,0,Python,https://github.com/dsaidgovsg/kms-reencrypt,"# KMS Re-Encrypt

Python `boto3` script to recursively KMS re-encrypt objects.

This script is best suited for scenario where you have programs writin",dsaidgovsg
libbuilds,Repository to host both the builder and built libraries,0,0,None specified,https://github.com/dsaidgovsg/libbuilds,"# libbuilds
Repository to host both the builder and built libraries
",dsaidgovsg
lswagger-ui,"Swagger UI is a collection of HTML, Javascript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",1,1,JavaScript,https://github.com/dsaidgovsg/lswagger-ui,"# Swagger UI

[![NPM version](https://badge.fury.io/js/swagger-ui.svg)](http://badge.fury.io/js/swagger-ui)

## New!

**This is the new version of swa",dsaidgovsg
multimodal-learning-hands-on-tutorial,No description,93,13,Jupyter Notebook,https://github.com/dsaidgovsg/multimodal-learning-hands-on-tutorial,"# Classifying Multimodal Data using Transformers

## Motivation
The increasing prevalence of multimodal data in our society has led to the increased n",dsaidgovsg
nomad-parametric-autoscaler,A customizable Nomad/EC2 auto-scaling service,5,0,JavaScript,https://github.com/dsaidgovsg/nomad-parametric-autoscaler,"![GitHub Logo](/images/nopas.png)
# NOmad-Parametric-AutoScaler
NOPAS is a template for a Go service that scales nomad tasks
* Parametric: policy is p",dsaidgovsg
OOD-ensemble-classifier,Experimental script for OOD image detection using an Ensemble,0,0,Jupyter Notebook,https://github.com/dsaidgovsg/OOD-ensemble-classifier,"# Notice
This repository contains the code used in my DSA4199 final report. Plotting of visuals are done using miscplots.ipynb
Model retraining are do",dsaidgovsg
openmaptiles-styles,Build styles for use with tileserver-gl,0,0,None specified,https://github.com/dsaidgovsg/openmaptiles-styles,"# openmaptiles-styles

This repository contains the convenience scripts to build styles for use with
[`tileserver-gl`](https://github.com/klokantech/t",dsaidgovsg
pac4j-authorizer,pac4j Authorizer for custom authorization techniques,0,0,Scala,https://github.com/dsaidgovsg/pac4j-authorizer,"# `pac4j-authorizer`

| Scala 2.11 | Scala 2.12 |
|:-:|:-:|
| [![Codefresh build status]( https://g.codefresh.io/api/badges/pipeline/dsaid/dsaidgovsg%",dsaidgovsg
pinot-spark-build,Repo to build pinot with Spark integration,0,0,Dockerfile,https://github.com/dsaidgovsg/pinot-spark-build,"# Pinot with Spark build

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/pinot-spark-build/CI/main?label=CI&logo=github&style=f",dsaidgovsg
project-guidelines,A set of best practices for JavaScript projects,1,0,None specified,https://github.com/dsaidgovsg/project-guidelines,"
[中文版](./README-zh.md)
 | [日本語版](./README-ja.md)
 | [한국어](./README-ko.md)
 | [Русский](./README-ru.md)
 | [Português](./README-pt-BR.md)

[<img src="".",dsaidgovsg
ptfe,Terraform modules and documentation for setting up private installs of Terraform Enterprise,0,0,HCL,https://github.com/dsaidgovsg/ptfe,"# Terraform Enterprise Modules

These are Terraform modules for setting up Terraform Enterprise inside a customer's infrastructure (aka Private Terraf",dsaidgovsg
pubpost,Code for Medium Post,0,0,Python,https://github.com/dsaidgovsg/pubpost,README not available,dsaidgovsg
